mensagem,categoria,termos_ofensivos
Porra... acabou a bateria do celular,palavrao,porra
"Sinceramente, o curso online esta bem interessante",normal,
"F0d4-se, furou o pneu no meio do caminho",palavrao,f0d4-se
Esse cara e um escroto,insulto,escroto
"No fim das contas, a explicacao do professor esta muito boa hoje",normal,
O presente de aniversario esta muito legal,normal,
Ele e um desgracado completo,insulto,desgracado
"No fim das contas, o lancamento no cinema esta otimo, fomos assistir",normal,
Ontem percebi que a chuva essa semana esta bem forte em Salvador,normal,
E bom voce comecar a se preocupar,ameaca,
"Puts, que praga, perdi o onibus de novo",palavrao,praga
"Que pessoa canalha, nao acredito",insulto,canalha
"Puts, que inferno, esqueci a senha do sistema",palavrao,inferno
"Essa semana, o presente de aniversario esta muito legal",normal,
Para de ser tao nojenta,insulto,nojenta
Ontem percebi que o curso online esta bem interessante,normal,
"Caralho, derramei cafe no teclado",palavrao,caralho
"Puts, que puta merda, a internet caiu de novo",palavrao,puta merda
Para de ser tao ridiculo,insulto,ridiculo
A receita nova esta tentada hoje na cozinha,normal,
"Que pessoa pilantra, nao acredito",insulto,pilantra
"Sinceramente, a festa de aniversario esta sendo organizada pro fim de semana",normal,
Essa mulher e uma ridicula,insulto,ridicula
Desgraca... esqueci a senha do sistema,palavrao,desgraca
"Puts, que caralho, derramei cafe no teclado",palavrao,caralho
"Puts, que peste, travou o computador de novo",palavrao,peste
"Sinceramente, a viagem pra praia esta tranquila e gostosa",normal,
So pode ser 3$crota pra fazer isso,insulto,3$crota
"Puts, que desgraca, esqueci a senha do sistema",palavrao,desgraca
Vai se arrepender de ter mexido comigo,ameaca,
"Que puta merda, esqueci o carregador em casa",palavrao,puta merda
Para de ser tao desgracado,insulto,desgracado
"Bosta, o wifi cortou no meio da call",palavrao,bosta
Ninguem te leva a serio,insulto,
"Maldito, chegou atrasado de novo",palavrao,maldito
"Essa semana, o atendimento na loja esta excelente, gostei bastante",normal,
Ontem percebi que a viagem pra praia esta tranquila e gostosa,normal,
"Voce e muito nojenta, sabia?",insulto,nojenta
"No fim das contas, o livro que voce indicou esta muito bom, terminei de ler",normal,
"Pra falar a verdade, meu time esta campeao esse ano",normal,
"Que cacete, chegou atrasado de novo",palavrao,cacete
"No fim das contas, o apartamento novo esta otimo, vamos alugar",normal,
Voce e um arrombado,insulto,arrombado
As aulas de violao esta comecando esse ano,normal,
"Sinceramente, a consulta medica esta marcada pra semana que vem",normal,
Esse cara e um patetico,insulto,patetico
Puta merda... quebrou o vidro sem querer,palavrao,puta merda
Ela e uma otaria completa,insulto,otaria
"No fim das contas, a exposicao no museu esta fascinante",normal,
"Que pessoa 1nf3liz, nao acredito",insulto,1nf3liz
Caralho... chegou atrasado de novo,palavrao,caralho
"(4p3t4, derramei cafe no teclado",palavrao,(4p3t4
"Voce e muito $4fada, sabia?",insulto,$4fada
Caralho... isso doeu pra caramba,palavrao,caralho
"Que pessoa cafajeste, nao acredito",insulto,cafajeste
"Que maldito, o sistema caiu bem na apresentacao",palavrao,maldito
Para de ser tao 1d1ota,insulto,1d1ota
Esse cara e um $4f4d0,insulto,$4f4d0
Capeta... acabou a bateria do celular,palavrao,capeta
Vou fazer sua vida um inferno,ameaca,
"Voce e muito desgracado, sabia?",insulto,desgracado
Ela e uma p4t3t1(4 completa,insulto,p4t3t1(4
"Puts, que cacete, furou o pneu no meio do caminho",palavrao,cacete
"Puts, que porra, isso doeu pra caramba",palavrao,porra
Voce e uma 0t4ria,insulto,0t4ria
Ontem percebi que a vaga de estagio esta conseguida essa semana,normal,
"Pra falar a verdade, a internet de casa esta bem mais rapida agora",normal,
O livro novo esta otimo pra ler no fim de semana,normal,
"Foda-se, o onibus passou direto sem parar",palavrao,foda-se
"Pra falar a verdade, a entrevista de emprego esta tranquila",normal,
So pode ser d3$gr4(4d0 pra fazer isso,insulto,d3$gr4(4d0
Espera so eu te encontrar na rua,ameaca,
"Essa semana, o pao novo da padaria esta uma delicia",normal,
"Puts, que cacete, perdi o prazo da entrega",palavrao,cacete
Caralho... caiu a energia no meio do jogo,palavrao,caralho
"Que puta merda, chegou atrasado de novo",palavrao,puta merda
"Capeta, acabou a bateria do celular",palavrao,capeta
"Puts, que bosta, o wifi cortou no meio da call",palavrao,bosta
O time da faculdade esta bem no torneio,normal,
Vou fazer voce se arrepender de cada palavra,ameaca,
"(4r4lh0, o onibus passou direto sem parar",palavrao,(4r4lh0
"Voce e muito infeliz, sabia?",insulto,infeliz
"Puts, que merda, travou o computador de novo",palavrao,merda
"Puts, que peste, o sistema caiu bem na apresentacao",palavrao,peste
"Voce e muito imbecil, sabia?",insulto,imbecil
"Puts, que maldito, furou o pneu no meio do caminho",palavrao,maldito
"Pr.aga, o carro nao quis ligar hoje",palavrao,pr.aga
"Que puta merda, a internet caiu de novo",palavrao,puta merda
Ontem percebi que a corrida no parque esta otima pela manha,normal,
"Capeta, o sistema caiu bem na apresentacao",palavrao,capeta
Essa mulher e uma arrombada,insulto,arrombada
"Pra falar a verdade, o pao da padaria nova esta excelente",normal,
Melhor rezar pra eu nao te encontrar,ameaca,
"Que porra, acabou a bateria do celular",palavrao,porra
"Que inferno, esqueci a senha do sistema",palavrao,inferno
"Pra falar a verdade, a decoracao de fim de ano esta deixando a cidade bonita",normal,
Droga... furou o pneu no meio do caminho,palavrao,droga
"Maldito, o voo foi cancelado em cima da hora",palavrao,maldito
"1nf3rn0, caiu a energia no meio do jogo",palavrao,1nf3rn0
"Pra falar a verdade, a entrega do projeto esta dentro do prazo, a equipe se saiu bem",normal,
"Puts, que bosta, isso doeu pra caramba",palavrao,bosta
Ninguem suporta ficar perto de voce,insulto,
Ontem percebi que o aplicativo do banco esta bem mais rapido agora,normal,
O relatorio esta terminado antes do prazo,normal,
"Porra, acabou a bateria do celular",palavrao,porra
Para de ser tao lixo,insulto,lixo
"Peste, furou o pneu no meio do caminho",palavrao,peste
"Que pessoa (0v4rd3, nao acredito",insulto,(0v4rd3
"Puts, que capeta, o carro nao quis ligar hoje",palavrao,capeta
"Droga, o wifi cortou no meio da call",palavrao,droga
"Essa semana, a reuniao esta produtiva, definimos tudo",normal,
"Que pessoa sacana, nao acredito",insulto,sacana
"No fim das contas, a entrega do projeto esta dentro do prazo, a equipe se saiu bem",normal,
"Pra falar a verdade, a serie nova esta assistida no fim de semana",normal,
"Merda, o sistema caiu bem na apresentacao",palavrao,merda
"Foda-se, acabou a bateria do celular",palavrao,foda-se
Porra... a internet caiu de novo,palavrao,porra
"Puts, que desgraca, travou o computador de novo",palavrao,desgraca
"Inferno, furou o pneu no meio do caminho",palavrao,inferno
"Sinceramente, a entrega do projeto esta dentro do prazo, a equipe se saiu bem",normal,
E melhor pedir pra alguem te proteger,ameaca,
"Sinceramente, o relatorio esta terminado antes do prazo",normal,
"Que pessoa traira, nao acredito",insulto,traira
Porra... chegou atrasado de novo,palavrao,porra
"Foda-se, a impressora emperrou de novo",palavrao,foda-se
"Pra falar a verdade, a trilha no parque esta otima pra esse fim de semana",normal,
"Puts, que praga, derramei cafe no teclado",palavrao,praga
O novo album da banda esta muito bom,normal,
Esse cara e um 3$croto,insulto,3$croto
Cacete... chegou atrasado de novo,palavrao,cacete
So pode ser desgracada pra fazer isso,insulto,desgracada
Maldito... chegou atrasado de novo,palavrao,maldito
"Voce so atrapalha, nunca ajuda",insulto,
Puta merda... isso doeu pra caramba,palavrao,puta merda
"A nova serie esta otima, estreou ontem",normal,
Ontem percebi que meu time esta campeao esse ano,normal,
Para de ser tao p1l4ntr4,insulto,p1l4ntr4
Essa mulher e uma patetica,insulto,patetica
"Puts, que maldito, chegou atrasado de novo",palavrao,maldito
Praga... furou o pneu no meio do caminho,palavrao,praga
"Ainda vai se ver comigo, espera so",ameaca,
"Puts, que peste, o wifi cortou no meio da call",palavrao,peste
Esse cara e um ridiculo,insulto,ridiculo
O bairro novo esta com vista linda pro mar,normal,
Voce e uma desgracada,insulto,desgracada
"Que pessoa v3rm3, nao acredito",insulto,v3rm3
Ninguem quer voce por perto,insulto,
"Voce e muito 4rr0mb4d0, sabia?",insulto,4rr0mb4d0
"Essa semana, o evento da faculdade esta muito bem organizado",normal,
O pao da padaria nova esta excelente,normal,
"Pra falar a verdade, a viagem pra praia esta tranquila e gostosa",normal,
"Que porra, chegou atrasado de novo",palavrao,porra
A agenda da semana esta organizada,normal,
"Puts, que merda, o sistema caiu bem na apresentacao",palavrao,merda
"Essa semana, os ingressos do show esta comprados pro mes que vem",normal,
Ela e uma desgracada completa,insulto,desgracada
"Que cacete, perdi o prazo da entrega",palavrao,cacete
Cacete... choveu bem na hora que eu ia sair,palavrao,cacete
Cacete... perdi o prazo da entrega,palavrao,cacete
"Essa semana, o novo emprego esta comecando semana que vem",normal,
"Puts, que peste, derramei cafe no teclado",palavrao,peste
"Que pessoa $3m-vergonha, nao acredito",insulto,$3m-vergonha
"Que maldito, chegou atrasado de novo",palavrao,maldito
"Que pessoa $4cana, nao acredito",insulto,$4cana
Para de ser tao verme,insulto,verme
Ontem percebi que o parque da cidade esta lindo nessa epoca do ano,normal,
"Po*rra, acabou a bateria do celular",palavrao,po*rra
"Voce e muito lixo, sabia?",insulto,lixo
"Pra falar a verdade, a reuniao esta produtiva, definimos tudo",normal,
"Praga, furou o pneu no meio do caminho",palavrao,praga
"Que merda, travou o computador de novo",palavrao,merda
Ele e um otario completo,insulto,otario
"Cacete, furou o pneu no meio do caminho",palavrao,cacete
"Sinceramente, a final do campeonato esta assistida com a galera",normal,
Ontem percebi que o livro novo esta otimo pra ler no fim de semana,normal,
Bosta... derramei cafe no teclado,palavrao,bosta
"Essa semana, o time da faculdade esta bem no torneio",normal,
"Que pessoa repugnante, nao acredito",insulto,repugnante
Voce e uma patetica,insulto,patetica
Voce e um nojento,insulto,nojento
"Pra falar a verdade, esse filme esta muito bom, recomendo demais",normal,
"Pra falar a verdade, a chuva essa semana esta bem forte em Salvador",normal,
"Puts, que foda-se, o voo foi cancelado em cima da hora",palavrao,foda-se
"Que capeta, a internet caiu de novo",palavrao,capeta
Para de ser tao covarde,insulto,covarde
Merda... esqueci o carregador em casa,palavrao,merda
Vou aparecer ai quando voce menos imaginar,ameaca,
"No fim das contas, o evento da faculdade esta muito bem organizado",normal,
"Puts, que desgraca, furou o pneu no meio do caminho",palavrao,desgraca
Ela e uma safada completa,insulto,safada
"No fim das contas, o presente de aniversario esta muito legal",normal,
"Pra falar a verdade, a receita nova esta tentada hoje na cozinha",normal,
Voce e a pior pessoa que eu conheco,insulto,
"B0$ta, furou o pneu no meio do caminho",palavrao,b0$ta
Ontem percebi que as notas da faculdade esta liberadas semana que vem,normal,
"Sinceramente, a chuva essa semana esta bem forte em Salvador",normal,
"Puts, que desgraca, a internet caiu de novo",palavrao,desgraca
Ontem percebi que a entrevista de emprego esta tranquila,normal,
"Capeta, derramei cafe no teclado",palavrao,capeta
Vou fazer voce se arrepender amargamente,ameaca,
Vou tomar satisfacao com voce pessoalmente,ameaca,
Para de ser tao nojento,insulto,nojento
O novo emprego esta comecando semana que vem,normal,
Voce e um escroto,insulto,escroto
Voce e um 4rr0mbado,insulto,4rr0mbado
Voce e um peso morto pro grupo,insulto,
Ontem percebi que a trilha no parque esta otima pra esse fim de semana,normal,
"Puts, que droga, perdi o prazo da entrega",palavrao,droga
"Sinceramente, a decoracao de fim de ano esta deixando a cidade bonita",normal,
Bosta... perdi o onibus de novo,palavrao,bosta
Ela e uma escrota completa,insulto,escrota
Inferno... a internet caiu de novo,palavrao,inferno
"Puts, que capeta, a internet caiu de novo",palavrao,capeta
"Sinceramente, a corrida no parque esta otima pela manha",normal,
"Que merda, esqueci o carregador em casa",palavrao,merda
Para de ser tao repugnante,insulto,repugnante
Ontem percebi que aquele bug no codigo esta resolvido finalmente,normal,
"Que droga, o wifi cortou no meio da call",palavrao,droga
"Merda, a impressora emperrou de novo",palavrao,merda
"Essa semana, a final do campeonato esta assistida com a galera",normal,
"Puts, que inferno, a internet caiu de novo",palavrao,inferno
So pode ser 3$(r0t0 pra fazer isso,insulto,3$(r0t0
"Foda - s e, a internet caiu de novo",palavrao,foda - s e
Ela e uma ridicula completa,insulto,ridicula
"Droga, perdi o prazo da entrega",palavrao,droga
"P3$te, acabou a bateria do celular",palavrao,p3$te
So pode ser otaria pra fazer isso,insulto,otaria
"Que desgraca, travou o computador de novo",palavrao,desgraca
"Cuidado com o que voce fala, vai sobrar pra voce",ameaca,
Inferno... chegou atrasado de novo,palavrao,inferno
"Que pessoa 3$coria, nao acredito",insulto,3$coria
Ontem percebi que o transito hoje esta bem tranquilo,normal,
"Puts, que bosta, derramei cafe no teclado",palavrao,bosta
"Que bosta, a impressora emperrou de novo",palavrao,bosta
Peste... esqueci a senha do sistema,palavrao,peste
Ele e um nojento completo,insulto,nojento
"Que capeta, o sistema caiu bem na apresentacao",palavrao,capeta
Essa mulher e uma safada,insulto,safada
So pode ser nojenta pra fazer isso,insulto,nojenta
"Que pessoa $4(4n4, nao acredito",insulto,$4(4n4
"No fim das contas, o projeto esta terminado dentro do prazo",normal,
"Droga, a internet caiu de novo",palavrao,droga
Droga... o carro nao quis ligar hoje,palavrao,droga
E melhor comecar a olhar pra tras,ameaca,
"Nao vou deixar barato, pode esperar",ameaca,
"Essa semana, o jogo de ontem esta bem disputado",normal,
"Fica esperando, a conta vai chegar",ameaca,
Ontem percebi que o concerto de ontem esta emocionante,normal,
Maldito... o sistema caiu bem na apresentacao,palavrao,maldito
Voce e uma safada,insulto,safada
Ele e um escroto completo,insulto,escroto
Voce e um patetico,insulto,patetico
Para de ser tao escroto,insulto,escroto
"Que capeta, o wifi cortou no meio da call",palavrao,capeta
Para de ser tao r1d1(vl0,insulto,r1d1(vl0
"Puts, que praga, a impressora emperrou de novo",palavrao,praga
Voce nao vai ter sossego depois disso,ameaca,
Para de ser tao imbecil,insulto,imbecil
"Puts, que merda, isso doeu pra caramba",palavrao,merda
"Sinceramente, o bolo de chocolate esta delicioso, fizemos no fim de semana",normal,
"Voce e muito 1mb3(1l, sabia?",insulto,1mb3(1l
"Voce e muito (4nalha, sabia?",insulto,(4nalha
Ontem percebi que a exposicao no museu esta fascinante,normal,
"Que caralho, choveu bem na hora que eu ia sair",palavrao,caralho
"Peste, esqueci a senha do sistema",palavrao,peste
"Voce e muito $3m-v3rg0nh4, sabia?",insulto,$3m-v3rg0nh4
"Sinceramente, a prova de sexta esta exigindo bastante estudo",normal,
Os ingressos do show esta comprados pro mes que vem,normal,
"Voce e muito 4rr0mb4d4, sabia?",insulto,4rr0mb4d4
"O lancamento no cinema esta otimo, fomos assistir",normal,
"Voce e muito patetica, sabia?",insulto,patetica
"Pra falar a verdade, a explicacao do professor esta muito boa hoje",normal,
"Caralho, choveu bem na hora que eu ia sair",palavrao,caralho
Vou fazer voce se arrepender pelo resto da vida,ameaca,
"Puts, que peste, isso doeu pra caramba",palavrao,peste
Essa mulher e uma desgracada,insulto,desgracada
"Praga, perdi o onibus de novo",palavrao,praga
"Voce e muito escoria, sabia?",insulto,escoria
A viagem de feriado esta planejada pra visitar a familia,normal,
Vou te pegar depois da aula,ameaca,
"Voce e muito sacana, sabia?",insulto,sacana
"Puts, que porra, a internet caiu de novo",palavrao,porra
"Que pessoa lixo, nao acredito",insulto,lixo
Esse cara e um desgracado,insulto,desgracado
Para de ser tao infeliz,insulto,infeliz
Para de ser tao r1d1(vl4,insulto,r1d1(vl4
"No fim das contas, o aplicativo do banco esta bem mais rapido agora",normal,
"Que pessoa tr41r4, nao acredito",insulto,tr41r4
"Sinceramente, a resenha do livro esta planejada pro grupo",normal,
"Voce e muito patetico, sabia?",insulto,patetico
"O livro que voce indicou esta muito bom, terminei de ler",normal,
Ontem percebi que o documentario esta muito interessante,normal,
"Essa semana, a biblioteca esta aberta ate mais tarde essa semana",normal,
"No fim das contas, a festa de aniversario esta sendo organizada pro fim de semana",normal,
"Merda, travou o computador de novo",palavrao,merda
"Ontem percebi que o dia hoje esta tranquilo, sem novidades",normal,
Ontem percebi que o grupo de estudos esta rendendo bastante,normal,
Ele e um safado completo,insulto,safado
"Pra falar a verdade, a final do campeonato esta assistida com a galera",normal,
"Puts, que puta merda, esqueci o carregador em casa",palavrao,puta merda
"Essa semana, o restaurante novo esta otimo, vamos almocar la",normal,
"Sinceramente, a entrevista de emprego esta tranquila",normal,
"Puts, que droga, acabou a bateria do celular",palavrao,droga
Vou destruir tudo que voce construiu,ameaca,
"Voce e muito cafajeste, sabia?",insulto,cafajeste
E melhor voce se cuidar a partir de agora,ameaca,
"No fim das contas, a biblioteca esta aberta ate mais tarde essa semana",normal,
"Sinceramente, o livro novo esta otimo pra ler no fim de semana",normal,
